Datum;Feiertag
01.01.2016;Neujahrstag
02.01.2016;Berchtoldstag
06.01.2016;Dreikönigstag
20.03.2016;Palmsonntag
14.02.2016;Valentinstag
25.03.2016;Karfreitag
27.03.2016;Ostern
28.03.2016;Ostermontag
01.05.2016;Tag der Arbeit
05.05.2016;Auffahrt
08.05.2016;Muttertag
15.05.2016;Pfingsten
16.05.2016;Pfingstmontag
26.05.2016;Fronleichnam
05.06.2016;Schweizer Vätertag
01.08.2016;Nationalfeiertag Schweiz
18.09.2016;Eidg. Dank-, Buss- und Bettag
31.10.2016;Halloween
01.11.2016;Allerheiligen
02.11.2016;Allerseelen
27.11.2016;Erster Advent
04.12.2016;Zweiter Advent
06.12.2016;St. Nikolaus
11.12.2016;Dritter Advent
18.12.2016;Vierter Advent
24.12.2016;Heiliger Abend
25.12.2016;Weihnachten
26.12.2016;Stephanstag
31.12.2016;Silvester
01.01.2017;Neujahrstag
02.01.2017;Berchtoldstag
06.01.2027;Dreikönigstag
14.02.2017;Valentinstag
09.04.2017;Palmsonntag
14.04.2017;Karfreitag
16.04.2017;Ostern
17.04.2017;Ostermontag
01.05.2017;Tag der Arbeit
14.05.2017;Muttertag
25.05.2017;Auffahrt
04.06.2017;Pfingsten
04.06.2017;Schweizer Vätertag
05.06.2017;Pfingstmontag
15.06.2017;Fronleichnam
01.08.2017;Nationalfeiertag Schweiz
17.09.2017;Eidg. Dank-, Buss- und Bettag
31.10.2017;Halloween
01.11.2017;Allerheiligen
02.11.2017;Allerseelen
03.12.2017;Erster Advent
06.12.2017;St. Nikolaus
10.12.2017;Zweiter Advent
17.12.2017;Dritter Advent
24.12.2017;Heiliger Abend
25.12.2017;Weihnachten
26.12.2017;Stephanstag
31.12.2017;Silvester
01.01.2018;Neujahrstag
02.01.2018;Berchtoldstag
06.01.2018;Dreikönigstag
14.02.2018;Valentinstag
25.03.2018;Palmsonntag
30.03.2018;Karfreitag
01.04.2018;Ostern
02.04.2018;Ostermontag
01.05.2018;Tag der Arbeit
10.05.2018;Auffahrt
13.05.2018;Muttertag
20.05.2018;Pfingsten
21.05.2018;Pfingstmontag
31.05.2018;Fronleichnam
03.06.2018;Schweizer Vätertag
01.08.2018;Nationalfeiertag Schweiz
16.09.2018;Eidg. Dank-, Buss- und Bettag
31.10.2018;Halloween
01.11.2018;Allerheiligen
02.11.2018;Allerseelen
02.12.2018;Erster Advent
06.12.2018;St. Nikolaus
09.12.2018;Zweiter Advent
16.12.2018;Dritter Advent
23.12.2018;Vierter Advent
24.12.2018;Heiliger Abend
25.12.2018;Weihnachten
26.12.2018;Stephanstag
31.12.2018;Silvester
01.01.2019;Neujahrstag
02.01.2019;Berchtoldstag
06.01.2019;Dreikönigstag
14.02.2019;Valentinstag
14.04.2019;Palmsonntag
19.04.2019;Karfreitag
21.04.2019;Ostern
22.04.2019;Ostermontag
01.05.2019;Tag der Arbeit
12.05.2019;Muttertag
30.05.2019;Auffahrt
02.06.2019;Schweizer Vätertag
09.06.2019;Pfingsten
10.06.2019;Pfingstmontag
20.06.2019;Fronleichnam
01.08.2019;Nationalfeiertag Schweiz
15.09.2019;Eidg. Dank-, Buss- und Bettag
31.10.2019;Halloween
01.11.2019;Allerheiligen
02.11.2019;Allerseelen
01.12.2019;Erster Advent
06.12.2019;St. Nikolaus
08.12.2019;Zweiter Advent
15.12.2019;Dritter Advent
22.12.2019;Vierter Advent
24.12.2019;Heiliger Abend
25.12.2019;Stephanstag
31.12.2019;Silvester
01.01.2020;Neujahrstag
02.01.2020;Berchtoldstag
06.01.2020;Dreikönigstag
14.02.2020;Valentinstag
05.04.2020;Palmsonntag
10.04.2020;Karfreitag
12.04.2020;Ostern
13.04.2020;Ostermontag
01.05.2020;Tag der Arbeit
10.05.2020;Muttertag
21.05.2020;Auffahrt
31.05.2020;Pfingsten
01.06.2020;Pfingstmontag
07.06.2020;Schweizer Vätertag
11.06.2020;Fronleichnam
01.08.2020;Nationalfeiertag Schweiz
20.09.2020;Eidg. Dank-, Buss- und Bettag
31.10.2020;Halloween
01.11.2020;Allerheiligen
02.11.2020;Allerseelen
29.11.2020;Erster Advent
06.12.2020;Zweiter Advent
06.12.2020;St. Nikolaus
13.12.2020;Dritter Advent
20.12.2020;Vierter Advent
24.12.2020;Heiliger Abend
25.12.2020;Weihnachten
26.12.2020;Stephanstag
31.12.2020;Silvester
01.01.2021;Neujahrstag
02.01.2021;Berchtoldstag
06.01.2021;Dreikönigstag
14.02.2021;Valentinstag
28.03.2021;Palmsonntag
02.04.2021;Karfreitag
04.04.2021;Ostern
05.04.2021;Ostermontag
01.05.2021;Tag der Arbeit
09.05.2021;Muttertag
13.05.2021;Auffahrt
23.05.2021;Pfingsten
24.05.2021;Pfingstmontag
03.06.2021;Fronleichnam
06.06.2021;Schweizer Vätertag
01.08.2021;Nationalfeiertag Schweiz
19.09.2021;Eidg. Dank-, Buss- und Bettag
31.10.2021;Halloween
01.11.2021;Allerheiligen
02.11.2021;Allerseelen
28.11.2021;Erster Advent
05.12.2021;Zweiter Advent
06.12.2021;St. Nikolaus
12.12.2021;Dritter Advent
19.12.2021;Vierter Advent
24.12.2021;Heiliger Abend
25.12.2021;Weihnachten
26.12.2021;Stephanstag
31.12.2021;Silvester
01.01.2022;Neujahrstag
02.01.2022;Berchtoldstag
06.01.2022;Dreikönigstag
14.02.2022;Valentinstag
